course name,course_credits,course_code,course_desc,lecture_topic,assessment_plan,level_of_course,mandatory_prereqs,department,mid_eval,end_eval,project_eval,quiz_eval,assignment_eval
,,,,,,,,,,,,,
Introduction to Sociology and Anthropology_SOC101.xlsx,4,SOC101,"Who has the solution to ‘big problems’ like violent crimes, cybersecurity, environmental degradation, HIV or Ebola crisis and population explosion? If you think the answer is only scientists and government you are mistaken. In the contemporary world social scientists are actively engaged in solving many of these issues along with scientists and the divide between social sciences and STEM disciplines is becoming a thing of the past. In United Kingdom for example, the defence ministry uses social scientists as think tanks to understand defence and security challenges. In Africa, the fight against Ebola involved medical sociologists and anthropologists providing data to medical fraternity on community hygiene practices and sanitary behaviours. In India and China, social anthropologists have been critical to formulation of regulations regarding population policies and new reproductive technologies. To benefit more from these exchanges and engagements, it is important for budding engineers to understand what is sociology and social anthropology, what is its subject matter and how can these disciplines be strategically used for finding solutions to larger societal issues. This introductory course is mandated to introduce learners from diverse academic and social backgrounds to the discipline of Sociology and anthropology. It is intended to make learners understand the fundamental relationship between individual, culture and society. The course will help them develop a sociological perspective by focussing on foundational sociological/anthropological concepts such as social structure, organization,  institutions, status and roles, social change and social problems. All these key terms would be examined with reference to modern social theories and methods. These concepts will then be used to analyse observable social phenomenon like class inequality,  discrimination, ethnic an communal conflicts, poverty, health and illness, crime, globalization and consumption among others, to help learners develop a sociological understanding of the world we inhabit.","['Emergence of Sociology: The Great Revolutions', 'Sociology: Common sense or Science?', 'Sociological Imagination: Relationship between Individual and Society', 'Culture, Ethnocentricism, Cultural Relativism, Global Culture', 'Groups, Organization and Rise of Network Society', 'Micro-Sociology: The Social Construction of Everyday Life', 'Self, Social Interaction and Ethnomethodology', 'Socialization and Development', 'Status and Role', 'Deviance and Control', 'Stratification and Inequality ', 'Collective Behaviour and Social Change', 'Summing up and Review']","{'Type of Evaluation': '% Contribution in Grade', 'Quiz': 20, 'Response Papers': 20, 'Project': 20, 'Mid Semester Exam ': 20, 'End Semester Exam': 20, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Tischler, H. 2007. Introduction to Sociology (9th edition). US: Thomsan Wadsworth', 'Reference book': 'Ferris, K & Stein, J. (2010). The Real World: An Introduction to Sociology. New York: Norton & Co.\nGiddens, A., & Sutton, P. W. (2014). Essential concepts in Sociology. John Wiley & Sons.\nHaviland, W. A. (2002). Cultural anthropology. Wadsworth Publishing Company.\n'}",1,"SSH101-Critical
Thinking and Readings in Social Sciences",SOC,20,20,20,20,
,,,,,,,,,,,,,
IT and Scociety.xlsx,4,SOC207,"The Course will give a brief historical and sociological context to the emergence of Information technology and its spread from the specialist field of military intelligence to the everyday world of civilian use. It will analyse the effect of this new technology on industrial work culture, finance and education leading to new spatial, regional and global ways of doing business, creating knowledge and demarcating sovereignty. It will take up Silicon Valley and Bangalore briefly as case studies explaining this phenomena. It will next focus on the internet and its impact on new forms of human communication, warfare, business, governance, education and medicine. On the cultural front it will examine the interplay bewteen family and sociality, gender and age, transnationality and work, entrepreneurship and labour under conditions of the Knowledge Society or the New Economy. The convergence of mobile with internet technologies will be examined for the development of political movements and political cultures in democratic governance with the attendant concerns of privacy, surveillance, cyber security and violence . In India, the public culture of ICT4D will be compared with the start-up culture of doing business and new forms of e-governance today. The problem of the Digital Divide will be highlighted against the backdrop of new youth aspirations, middle class wealth creation and rural urban distinctions. New forms of aggressive identity- seeking globally, through new forms of IT-based entertainment, networked community formation and religious proselytisation, leading to terror, violence and risk will be outlined, especially for the everyday world of the young. Finally, the need for appropriate laws and ethical constraints to address these social concerns will be examined at the personal and professional level.","['Brief history to emergence of IT, IT’s roots in technological and cultural innovations', 'Nature & Scope of IT and its interaction with society; Comparison with conventional Technologies with special focus on the Internet', 'IT and global transformation in education, media & communication, work and industrial culture, political movements', 'IT and the Nation-State, new global trade and strategic associations; the rise of the MNC, regional enclavism; Case Study Silicon Valley; transnationalism and diaspora', 'IT in everyday life: citizenship, identity, entertainment, risk and violence', 'Gender & Sexuality, Consumerism, online activism, young entrepreneurs', 'Youth in Business: The Dot Com boom, ITES & Call Centres, Service approach and Start Ups', 'New personal, public and business ethics, plagiarism and IPR issues', 'A comparison of the booming computer education sector with conventional university education', 'India’s IT development, Liberalisation & the Leapfrogging Economy', 'Case Studies UIDAI, ICT4D', 'Enclavism and Service and software Export, Case Study of Bangalore', 'Revision']","{'Type of Evaluation': '% Contribution in Grade', 'Quiz': 20, 'Response Papers': 20, 'Project': 20, 'Mid Semester Exam ': 20, 'End Semester Exam': 20, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Tischler, H. 2007. Introduction to Sociology (9th edition). US: Thomsan Wadsworth', 'Reference book': 'Ferris, K & Stein, J. (2010). The Real World: An Introduction to Sociology. New York: Norton & Co.\nGiddens, A., & Sutton, P. W. (2014). Essential concepts in Sociology. John Wiley & Sons.\nHaviland, W. A. (2002). Cultural anthropology. Wadsworth Publishing Company.\n'}",2,,SOC,20,20,20,20,
,,,,,,,,,,,,,
Key Concepts in Economic Sociology(Updated version).xlsx,4,SOC 212,"Traditional economic analysis takes the rational individual as its starting point. Economic Sociology on the other hand encourages students to see rational self-interest and action as embedded in society, influenced by group dynamics, legal institutions, power, organizations and even culture. It justifies the application of independent sociological methods and concepts to the examination and understanding of the Economy as a sphere of production, consumption and exchange of goods and services, which is observable in all human societies, not only the modern and advanced. It thereby encourages students to relate economic actions to all other forms of social actions observable in society – the religious, the familial, the technological and the political. In sum, Economic sociology identifies the obligatory, symbolic and power seeking motivations underlying human economic action, not only the useful or utilitarian.  
Thic Course provides students with a corrective perspective. It re-ignites awareness of fundamental questions and looks to the contributions of thinkers like Karl Polanyi, Marcell Mauss and Granovetter and Swedberg to reconsider our assumptions on how we produce,consume and exchange, and live.
","['Introduction to Economic Sociology', 'Brief histories of Economics and Sociology\n', 'Formalism and Substanvism in Economic Sociology- Karl Polanyi\n', 'Economies and Culture', 'New Economic Sociology- Embeddedness- Granovetter', 'New Traditions of Economic Sociology- Swedberg', 'Forms of Exchange: Gifting \n', 'Forms of Exchange: Reciprocity', 'Understanding Markets- social meanings', 'Understanding Money- Social meanings', 'Development in Economic Sociology ', 'Globalisation in Economic Sociology', 'Summing up:Globalization and after']","{'Type of Evaluation': '% Contribution in Grade', 'Close reading, presentation and analysis of key text': 20, 'Quiz': 20, 'Assignment': 10, 'End-Semester Exam': 50, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Reference Book': 'Mauss,M. The Gift. Routledge: London. 1990'}",1,NIL,SOC,,50,,20,10
,,,,,,,,,,,,,
Learning and Memory.xlsx,4,SOC 212,"The course will introduce the students to the stages and mechanisms by which environmental information is learned;how it  flows from sensory receptors through sensory, short- term to long-term memory, its storage and retrieval. Lectures and discussions will draw from published scientific evidence mainly in the areas of behaviour, neuroimaging and neurophysiology to elucidate the organization and implementation of memory in the brain that influences various aspects of human cognition. The course will engage students to develop analytical thinking based on experimental data towards building capacity for original ideation in this area of cognitive science that is relatable to social sciences and technology.","['Background, Rationale, Approaches for the Study of Learning and Memory ', 'Elicited behaviour, Habituation, Sensitization ', 'Types and Mechanisms of Conditioning', 'Learning', 'Concept of Memory and its relation to Brain ', 'Stimulus Encoding and Sensory Memory', 'Short-term Memory', 'Working Memory', 'Long-term Memory', 'Memory storage and Retrieval', 'Processes of Forgetting', 'Cognitive bases of Learning and Memory enhancement ', 'Individual differences in Learning and Memory ']",{},1,,SOC,,,,,
,,,,,,,,,,,,,
Linear Optimization.xlsx,4,MTH374/MTH574,"This course aims at introducing students to the application of optimization techniques to various areas of CSE and ECE. We will primarily focus on linear optimization (linear programming) and learn about the structural and algorithmic aspects of optimization problems. The theoretical assignments will aim at developing the necessary skills for analysing algorithms and formulation of LPs. Computational assignments will  complement the theory by modeling real-world problems as linear programs and solve them using publicly available solvers. Towards the end of the course, we will briefly discuss convex programs and semi-definite programs (SDPs) with real-world applications and point to some of the existing solvers for this class of problems. 
","['Linear Algebra Review', 'Linear Optimisation Problems - Modeling through examples ', 'Geometry of Linear Programming', 'Geometry of Linear Programming', 'Simplex Method', 'Simplex Method', 'Duality Theory', 'Duality Theory + Theorem of the Alternative', 'Ellipsoid Method/Interior Point Methods', 'Network Flow Problems', 'SDP', 'Integer Programming Formulations', 'Overflow']","{'Type of Evaluation': '% Contribution in Grade', 'Assignment': 40, 'Quiz': 0, 'Mid-sem': 25, 'End-sem': 35, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': None}",5,Linear Algebra,MTH,25,35,,0,40
,,,,,,,,,,,,,
Machine Learning and Biomedical Applications.xlsx,4,BIO542,"This course is designed for students having wide range of background like biology, medical science, pharmacology, bioinformatics, computer science. This course is divided in following three sections; i) Major challenges in the field of biomedical science, ii) Introduction/implementation of machine learning techniques for developing prediction models, and iii) solving biomedical problems using machine learning techniques. This course will be help students in developing novel methods for solving real-life problems in the field of biological and health sciences. Attempt will made to bridge gap between students and world class researchers, studentds will be  exposed to highly accurate methods based on machine learning techniques (research papers).","['Introduction to biomedicals science, challenges in health and bimedical informatics', 'Classification of bimolecules (DNA, RNA, Proteins)', 'Concept of disease biomarkers', 'Designing of subunit vaccines (prediction of b-cell epitopes)', 'Logics behind major machine learning techniques (SVM, ANN, HMM, KNN, Random Forest)', 'Implemenation of machine learning techniques for developing prediction and classification models (Supervised & Unsupervised) and parameter optimization', 'Feature generation from biomedical images, biomolecules and genomic information', 'Feature selection techniques, feature stability and', 'Creation of non-redundant/clean datasets from raw', 'Benchmarking, measuring performance (ROC, MCC, precision) & Evaluation of Models  (internal, external', 'Development of models for disease forcasing, Cancer biomarkers & therapeutic biomolecules', 'Case study of research papers based on machine learning', 'Assignment of real-life problems for developing highly']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-sem': '3000%', 'End-sem': '3000%', 'Project': '3000%', 'Paper presentation': '1000%', '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title'}",5,None,BIO,30,30,30,,
,,,,,,,,,,,,,
Machine Learning Techniques for Real-time Control.xlsx,4,ECE577,"This course will provide an in-depth understanding of how to apply machine learning (ML) tools for real-time control applications, where no a-priopri data is available for the training phase of the ML component. The course focuses on online applications like control of robotics, aircraft type plants, which can be modelled as nonlinear dynamical systems. The uncertainties associated with the plant dynamics would be learned online using ML components (like neural networks), while simultaneously ensuring stability of the plant. Further model-based reinforcement learning (RL) inspired techniques will be introduced to design an approximate optimal controller. Lyapunov-based stability analysis will be instrumental for designing all the mentioned controllers.","['Introduction to Nonlinear Dynamical Systems and Control ', ""Equilibrium points, Linearization, Lyapunov Stability Theory, Barbalat's Lemma"", 'Adaptive Control techniques for structured uncertainty', 'Machine Learning based real-time control design for unstructured uncertainty using various learning mechanisms, issue of parameter drift, introduction to robust modifications like dead-zone. ', 'sigma-modification, e-modification based learning control', 'projection based learning control', 'Reinforcement learning-based algorithms for approximate optimal control (AOC) design, policy iteration: on-plicy and off-policy methods for AOC design', 'value iteration, Q-learning based AOC', 'Term Paper Presentation']","{'Type of Evaluation': '% Contribution in Grade', 'Homework': 30, 'Mid-sem': 15, 'Quiz': 15, 'End-sem': 25, 'Term Paper/Project': 15, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': None, 'Reference': '\n Neural Network Control of Robot Manipulators and Nonlinear Systems by Lewis, Jagannathan and Yesildirek\nOptimal Adaptive Control and Differential Games by Reinforcement Learning Principles by Vrabie, Vamvoudakis and Lewis \n Applied Nonlinear Control by Slotine and Li\n\n'}",5,"No pre-requisite as such. A basic familiarity with concepts of Linear Systems, Linear Algebra",ECE,15,25,15,15,
,,,,,,,,,,,,,
Machine Learning.xlsx,4,CSE 343/543,"This is an introductory course on Machine Learning (ML) that is offered to undergraduate and graduate students. The contents are designed to cover both theoretical and practical aspects of several well-established ML techniques. The assignments will contain theory and programming questions that help strengthen the theoretical foundations as well as learn how to engineer ML solutions to work on simulated and publicly available real datasets. The project(s) will require students to develop a complete Machine Learning solution requiring preprocessing, design of the classifier/regressor, training and validation, testing and evaluation with quantitative performance comparisons.","['Introduction to Machine Learning; Learning\nProblems and the Risk Minimization Framework', 'Classification: Naïve Bayes; k-Nearest Neighbors; Decision Trees; Regression: Linear Models', ""Linear Models for Regression & Classification:\nLinear and Logistic Regression;\nPractical Machine Learning: Bias-Variance; Training/Testing; Overfitting;  Jackknifing/Cross- Validation; Occam's razor; Regularization and Model Selection"", 'Perceptron and Support Vector Machines (primal &\ndual form.)', 'Soft-Margin SVMs; Kernel Methods', 'MLP and Neural Networks, Backpropagation', 'Overflow', 'Mid-sem', 'CNN for Image Classification, Object Detection;\nPCA, Autoencoders and Generative Models', 'Introduction to Reinforcement Learning (MDPs);\nBellman Equation and Dynamic Programming; Value and Policcy Iteration', 'Q-Learning; DQN;\nEnsemble Methods: Bagging, Boosting and Adaboost', 'Random Forests;\nUnsupervised Learning: k-means clustering; Gaussian Mixture Models; EM', 'Evolutionary Algorithms; Learning Theory (if time\npermits)', 'Overflow']","{'Type of Evaluation': '% Contribution in Grade', 'Homework': 30, 'Quiz': 10, 'Project': 25, 'Mid-sem': 15, 'End-sem': 20, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': '1. Machine Learning, Tom M. Mitchell, McGraw Hill, 1997', 'Reference': '1. Pattern Recognition and Machine Learning, Christopher M. Bishop, Springer, 2006'}",5,MTH100 Maths I,CSE,15,20,25,10,
,,,,,,,,,,,,,
Macroeconomics.xlsx,4,ECO201,"This course will introduce basic models of macroeconomics along with real-world examples from various industrialized and developing economies. It will provide a unified framework to analyze aggregate behavior of agents in an economy using aggregate demand and supply analysis. We will study the impact of monetary policy and fiscal policy options on economic growth, labor market wages, income distribution, exchange rates, etc. in the short-run, medium-run, and long-run. ","['Introduction to Macroeconomics', 'Measuring GDP, Growth and Prices', 'Inflation and unemployment', 'The Goods Market (Aggregate Demand and Aggregate Supply)', 'Midterm 1', 'The Goods Market (Aggregate Demand and Aggregate Supply)', 'Capital Investments and Savings', 'Fiscal Policy and Budget Deficits', 'Money Market, Banking, and Monetary Policy', 'Midterm 2', 'Government Debts and Deficits. Exchange rates and the Balance of Payments.', 'Economic Growth in the Long-Run', 'Review of syllabus']","{'Type of Evaluation': '% Contribution in Grade', 'Homework': 30, 'Quiz': 10, 'Project': 25, 'Mid-sem': 15, 'End-sem': 20, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': '1. Machine Learning, Tom M. Mitchell, McGraw Hill, 1997', 'Reference': '1. Pattern Recognition and Machine Learning, Christopher M. Bishop, Springer, 2006'}",2,None,ECO,15,20,25,10,
,,,,,,,,,,,,,
Math 1.xlsx,4,MTH100,"This first level math course covers basics of linear algebra including vector spaces, matrix algebra, linear transformations, eigenvalues and eigenvectors,
orthogonality, properties of symmetric matrices, positive definite matrices, and SVD. The course is developed with an aim to provide a strong foundation in linear algebra which will be used in the subsequent curriculum by both CS and ECE students. Time permitting, some applications of linear algebra in engineering disciplines will be introduced. The course also attempts to increase the mathematical maturity of students by introducing proofs and mathematical rigour.","['Systems of linear equations, row reduction and\nechelon\nforms, matrix equation of the form Ax = b, invertibility of matrices', 'Vector spaces and subspaces, linear\ndependence/independence, dimension, span, applications. Fundamental subspaces.', 'Linear transformation, rank. Matrix of linear transformation, effect of change of basis, similarity transformation. Algebra of linear transformations. Determinants, properties of determinants, Cramers rule, volume.', 'Eigenvalues and eigenvectors, diagonalization of a matrix, eigenvectors and linear transformations, complex eigenvalues.', 'Orthogonality and least squares, inner product, length, orthogonal projections, Gram-Schmidt orthogonalization, QR decomposition.\nSymmetric matrices and Quadratic forms, diagonalization of symmetric matrices, positive definite matrices, SVD, application to image processing.']","{'Type of Evaluation': '% Contribution in Grade', 'Test': 10, 'Mid-Semester Exam': 20, 'Weekly submission, quiz': 25, 'End-Semester Exam': 45, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'David Lay: Linear Algebra and Its Applications, 3rd (Indian Edition), Pearson.', 'Reference Book': '. Hoffman & Kunze: Linear Algebra, Pearson.', 'dn, Cengange.': None}",1,None,MTH,20,45,,25,
,,,,,,,,,,,,,
Math III.xlsx,4,MTH203,"This course covers topics in multivariable calculus, vector calculus and complex analysis. The course starts with an extension of concepts like limits, continuity and differentiation to functions of several variables. Partial differentiation is defined and applied. The idea of Taylor series is extended to functions of two variables. This is followed by a definition and application of integration in more than one dimensions: double and triple integrals. We then work with vector functions and develop the ideas of vector fields and differentiation and integration as applicable to vector calculus (gradient, divergence, curl, line and surface integrals, etc. The ideas of circulation and flux are developed and Green's, Stoke's and divergence theorems are covered. The final module of the course deals with complex numbers and functions and an extension of concepts of calculus to complex variables.","['Functions of several variables, limits and continuity in higher dimensions, partial derivatives, chain rule.', 'Directional derivatives and gradient vectors, tangent\nplanes and differentials, extreme values and saddle points.', ""Lagrange multipliers, partial derivatives with constrained variables, Taylor's formula for two variables."", 'Double integrals, Areas, moments and center of mass,\nDouble integrals in polar form, triple integrals in rectangular coordinates.', 'Masses and moments in three dimensions, triple integrals\nin cylindrical and spherical coordinates, substitutions in\nmultiple integrals.', 'Vectors in space, dot product, cross product, lines and\nplanes in space; vector functions.', 'Arc length and the unit tangent vector, curvature and the unit normal vector, torsion and the unit binormal vector.', ""Line integrals, vector fields, gradient of a scalar field,\nwork, circulation, flux, path independence, potential functions, conservative fields, divergence and curl of a vector field, Green's theorem."", ""Surface area and surface integrals, parametrized surfaces,\nStoke's theorem, Divergence theorem."", 'Complex numbers, polar form, derivatives, analytic\nfunctions, Cauchy-Riemann equations.', 'Exponential functions, trigonometric and hyperbolic\nfunctions, logarithms, general power.', ""Complex integration, line integrals, Cauchy's theorem,\nCauchy's integral formula, derivatives of analytic fucntions."", 'Sequences, series, convergence tests, power series,\nfunctions given by power series, Taylor series.']","{'Type of Evaluation': '% Contribution in Grade', 'Quiz 1': 10, 'Midsem': 30, 'Quiz 2': 10, 'Endsem': 40, 'Homeworks (best 10 out of 12)': 10, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook 1': ""Thomas' Calculus (11th Edition) by Murice D. Weir, Joel\nHass, Frank R. Giordano."", 'Textbook 2': 'Advanced Engineering Mathematics (9th Edition) by Erwin\nKreyszig.'}",2,,MTH,30,40,,10,
,,,,,,,,,,,,,
Math IV.xlsx,4,MTH204,"This is the first course in differential equations (ordinary and partial) to be taken by students in their second year of undergraduate studies. The primary focus of the course will be on learning how to solve linear second order ODEs (homogeneous as well as non-homogeneous) and PDEs (wave, heat and Laplace) using different methods. The course will also extend to systems of linear ordinary differential equations including a discussion on qualitative methods for nonlinear systems.","['Review of first order ODEs (self study plus homework with doubts/quesries to be addressed during tutorial session), Second order homogeneous linear ODEs with emphasis on equations with constant coefficients.', 'Modeling (free oscillations), Euler Cauchy equation, Existence and Uniqueness for homogeneous linear equations, Wronskian.', 'Nonhomogeneous ODEs, Solution by undetermined coefficients, solution by variation of parameters, Modeling (forced oscillations, electric  circuits).', ""Series solutions, Legendre's equation, Frobenius method, Bessel's equation."", 'Sturm-Liouville problems, orthogonal functions, orthogonal eigenfunction expansions.', 'Laplace transform, transforms of derivatives and integrals, differentiation and integration of transforms, Convolution, Partial fractions.', 'Introduction to partial differential equations, first order PDEs, wave equation (hyperbolic): using separation of variables and Fourier series.', ""D'Alembert's solution of wave equation, Two dimensional wave equation: rectangular membrane (double Fourier series), circular membrane (Fourier-Bessel series)."", 'Heat equation (parabolic): Solution by Fourier series, solution by Fourier integrals and transforms.', 'Laplace equation (elliptics): In cartesian coordinates, In cylindrical and spherical coordinates, Solution using a Fourier-Legendre series.', 'Introduction to higher order linear differential equations, Systems of differential equations, Phase plane, Critical points, Stability.', 'Nonhomogeneous linear systems, Qualitative methods for nonlinear systems.']","{'Type of Evaluation': '% Contribution in Grade', 'Midsem': 30, 'Endsem': 40, 'Homeworks (best 10 out of 12)': 30}",2,MTH203,MTH,30,40,,,
,,,,,,,,,,,,,
Memory Design and Test.xlsx,4,ECE 611,"This circuit design course brings students face to face with the challenges in designing a Memory Block. The course will introduce the challenges in designing the most commonly used 6T SRAM cell and then the peripheral circuits like sense amplifiers, decoders, write drivers etc. The course then introduces the cache hierarchy. Then the design specificities linked to DRAM design and NVM Design are covered. The last part of the course introduces the memory test methods, including BIST and test features in embedded memories. A course project using state-of-the-art computer aided design (CAD) tools in VLSI gives students hands-on exposure to design in an industrial technology/process. ","['Introduction to Types of Memories and Memory signal flow', 'Introduction to important Memory Timings and Introduction to 6T SRAM Cell', 'Figures of Merit of SRAM Cell + Cell sizing and optimization', 'SRAM Cell layout + Repair + I/O circuits', 'Address organization + Mismatch', ' Process Variations + Selftiming Fundamentals ', 'Cache Hierarchy and Design Choices', 'DRAM cell, Sensing scheme and periphery circuit design', 'NVM cell and design complexity', 'Test path and Testability Design', 'Special Test Features like Safety and Security', 'Review and Term project evaluation']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-sem': 25, 'Homework': 10, 'Quiz': 15, 'End-sem': 25, 'Project': 25}",6,Pre-requisite (desirable),ECE,25,25,25,15,
,,,,,,,,,,,,,
Micoreconomics.xlsx,4,ECO101,"This course involves formal introduction to the fundamentals of microeconomic theories of consumer and firm behavior. We will develop an understanding of the optimal decisions subject to limited budgets, technological barriers, and capacity constraints ofn production. We will gain an appreciation for the role of markets in resource allocation and learn the necessary conditions for markets to foster efficient allocation of scarce resources. We will study the the role of government policies regarding tax/subsidy and the response of consumers and firms that may raise or lower market efficiency.","['Review: Mathematical Tools', 'Consumer Economics: The Concept of Utility', 'Budget Cobstraint, Utility Maximization Problem', 'Demand Curve, Indirect Utility Function', 'Expenditure Minimization Problem', 'Consumer Surplus', 'Production Economics: Production Set and Production Technology', 'Cost Minimization Problem', 'Profit Maximization and Producer Surplus', 'Market Equilibrium, Market Strucutre and Welfare Economics', 'Advanced Topics: Risk & Uncertainty; Market Failure; Game Theory', 'Advanced Topics: Risk & Uncertainty; Market Failure; Game Theory', 'Group Presentations']","{'Type of Evaluation': '% Contribution in Grade', 'Assignments (4)': 25, 'Term Paper (Extended Abstract)/Class Presentations': 25, 'Mid-sem exam': 20, 'Final exam': 30}",1,"Matrix Algebra, Calculus",ECO,20,25,,,25
,,,,,,,,,,,,,
Mining Large Networks.xlsx,4,CSE5xx,"Networks are a fundamental tool for modeling complex social, technological, and biological systems. Coupled with the emergence of online social networks and large-scale data availability in social sciences, this course focuses on the analysis of massive networks which provide many computational, algorithmic, and modeling challenges. The course will cover recent research on the structure and analysis of such large networks and on models and algorithms that abstract their basic properties. We will explore how to practically analyze large-scale network data and how to reason about it through models for network structure and evolution. Topics covered in this course how information spreads through society; robustness and fragility of networks; algorithms for the World Wide Web; prediction and recommendation in online social networks; representation learning for large networks; etc.","['Course introduction and structure of Graphs', 'Measuring networks, and random graph models', 'Link analysis: PageRank and its variants, Link Farming', 'Network sampling', 'Community structure in Networks', 'Community detection approaches', 'Link prediction ', 'Network Effects and Cascade behavior', 'Influence maximization and outbreak detection', 'Network-based Anomaly detection', 'Heterogeneous network, metapaths', 'Graph Representation Leanring ', 'Graph convolutional networks']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-sem': 15, 'End-sem': 25, 'Class Attendance': 3, 'Quiz (4) ': 10, 'Assignment (4)': 15, 'Project': 25, 'Research paper discussion': 4, 'Blog writing': 3}",5,CSE222 Algorithm Design & Analysis,CSE,15,25,25,10,15
,,,,,,,,,,,,,
Mixed Signal Design.xlsx,4,ECE612,"This course teaches mixed signal circuits, which are very important bolcks in many modern processors. It covers switched capacitor circuits, comparators, different types of DACs, nyquist and over sampling ADCs.","['Intorduction to the course, Review of analog IC design, introduction to switched cap circuits (3)', 'Switched capacitor circuits (9)', 'Data conversion characteristics(3)', 'Sample and holds, comparators (6)', 'DACs : Voltage and charge based DACs, Current steering DACs, DAC linearization, Sigma delta DACs and interpolation filtering (9).', 'ADCs: Flash ADCs, Pipelined ADCs, SAR and slope ADCs and Sigma Delta ADC and decimation filters (9)']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-sem': 25, 'End-sem': 25, 'Project': 50, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': '4. Behzad Razavi, “Design of Analog CMOS Integrated Circuits”,\nMcGraw Hill Education (India), 2002.'}",6,"ECE315/ECE515 Analog CMOS
Circuit Design",ECE,25,25,50,,
,,,,,,,,,,,,,
Mobile _ Middleware Systems.xlsx,4,CS566/DES5XX,"This objective of this course is to train students in building mobile and middleware systems that are relevant for variety of domains, including but not limited to, crowdsensing, crowdsourcing, public helath, education, etc.  The course will teach contemporary middleware systems in practice and associated technologies to implement them. We will specifically be targetting middleware for unstructured data captured by mobile devices.  Computer Science as well as Design students will benefit from in-depth understanding of how Middleware works and as well developing the capacity to develop them. We would discuss middleware related issues for data collection, data privacy, data processing, analysis, and Visualization etc. Students are expected to have programming skills to program on Mobile Devices and Cloud. In this course, they will learn NoSQL databases, RESTful Web Services, Mobile based data collections - critical components of building Mobile Middleware Systems. Students will also be asked to read research papers from venues like Mobisys, Middleware, Sensys, CHI, etc.","['Introduction to Middleware Systems and technologies ', 'Middleware Systems in Practice, e.g., ODK, Amazon', 'Restful Architecture', 'REST web services', 'REST web services', 'NoSQL Databases - Document-based and Graph based', 'NoSQL Databases - Document-based and Graph based', 'NoSQL Databases - Document-based and Graph based', 'Mobile-based Data collection - lightweight mobile databases', 'Mobile-based Data Management - caching methods, query handling during intermittent connections, peer-to-peer resoruce management', 'Mobile-based Data Management - caching methods, query handling during intermittent connections, peer-to-peer resoruce management', 'Middleware Systems in Research, Project presentation', 'Middleware Systems in Research, Project presentation']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-Sem': 10, 'Assignments': 30, 'End-Sem': 25, 'Homework Quizzes': 10, 'Project ': 25}",5,CSE232 Computer Networks,CS5,10,25,25,10,30
,,,,,,,,,,,,,
